rocket_id,td,Iyy,wind,latency,Kp,sr
R1146,59.92680514013441,0.0135877194548863,0.32,1,27,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,1,40,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,1,60,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,1,90,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,1,130,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,1,190,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,1,270,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,1,320,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,1,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,2,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,3,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,5,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,8,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,12,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,18,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,27,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,40,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,60,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,90,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,130,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,190,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,270,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,3,320,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,6,1,0.6
R1146,59.92680514013441,0.0135877194548863,0.32,6,2,0.4
R1146,59.92680514013441,0.0135877194548863,0.32,6,3,0.8
R1146,59.92680514013441,0.0135877194548863,0.32,6,5,0.8
R1146,59.92680514013441,0.0135877194548863,0.32,6,8,0.8
R1146,59.92680514013441,0.0135877194548863,0.32,6,12,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,6,18,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,6,27,0.8
R1146,59.92680514013441,0.0135877194548863,0.32,6,40,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,6,60,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,6,90,1.0
R1146,59.92680514013441,0.0135877194548863,0.32,6,130,0.4
R1146,59.92680514013441,0.0135877194548863,0.32,6,190,0.4
R1146,59.92680514013441,0.0135877194548863,0.32,6,270,0.0
R1146,59.92680514013441,0.0135877194548863,0.32,6,320,0.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,1,0.8
R1146,59.92680514013441,0.0135877194548863,0.42,1,2,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,3,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,5,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,8,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,12,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,18,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,27,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,40,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,60,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,90,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,130,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,190,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,270,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,1,320,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,1,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,2,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,3,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,5,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,8,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,12,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,18,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,27,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,40,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,60,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,90,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,130,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,190,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,270,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,3,320,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,6,1,0.6
R1146,59.92680514013441,0.0135877194548863,0.42,6,2,0.8
R1146,59.92680514013441,0.0135877194548863,0.42,6,3,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,6,5,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,6,8,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,6,12,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,6,18,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,6,27,0.8
R1146,59.92680514013441,0.0135877194548863,0.42,6,40,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,6,60,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,6,90,1.0
R1146,59.92680514013441,0.0135877194548863,0.42,6,130,0.4
R1146,59.92680514013441,0.0135877194548863,0.42,6,190,0.4
R1146,59.92680514013441,0.0135877194548863,0.42,6,270,0.0
R1146,59.92680514013441,0.0135877194548863,0.42,6,320,0.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,1,0.8
R1460,110.4597462261217,0.0099042246844974,0.05,1,2,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,3,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,5,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,60,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,90,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,130,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,190,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,270,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,1,320,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,3,1,0.4
R1460,110.4597462261217,0.0099042246844974,0.05,3,2,0.6
R1460,110.4597462261217,0.0099042246844974,0.05,3,3,0.6
R1460,110.4597462261217,0.0099042246844974,0.05,3,5,0.6
R1460,110.4597462261217,0.0099042246844974,0.05,3,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,3,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,3,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,3,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,3,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,3,60,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,3,90,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,3,130,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,3,190,0.8
R1460,110.4597462261217,0.0099042246844974,0.05,3,270,0.8
R1460,110.4597462261217,0.0099042246844974,0.05,3,320,0.8
R1460,110.4597462261217,0.0099042246844974,0.05,6,1,0.4
R1460,110.4597462261217,0.0099042246844974,0.05,6,2,0.4
R1460,110.4597462261217,0.0099042246844974,0.05,6,3,0.8
R1460,110.4597462261217,0.0099042246844974,0.05,6,5,0.8
R1460,110.4597462261217,0.0099042246844974,0.05,6,8,0.4
R1460,110.4597462261217,0.0099042246844974,0.05,6,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.05,6,18,0.8
R1460,110.4597462261217,0.0099042246844974,0.05,6,27,0.6
R1460,110.4597462261217,0.0099042246844974,0.05,6,40,0.6
R1460,110.4597462261217,0.0099042246844974,0.05,6,60,0.6
R1460,110.4597462261217,0.0099042246844974,0.05,6,90,0.4
R1460,110.4597462261217,0.0099042246844974,0.05,6,130,0.0
R1460,110.4597462261217,0.0099042246844974,0.05,6,190,0.0
R1460,110.4597462261217,0.0099042246844974,0.05,6,270,0.0
R1460,110.4597462261217,0.0099042246844974,0.05,6,320,0.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,1,0.8
R1460,110.4597462261217,0.0099042246844974,0.12,1,2,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,3,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,5,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,60,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,90,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,130,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,190,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,270,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,1,320,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,1,0.4
R1460,110.4597462261217,0.0099042246844974,0.12,3,2,0.6
R1460,110.4597462261217,0.0099042246844974,0.12,3,3,0.6
R1460,110.4597462261217,0.0099042246844974,0.12,3,5,0.8
R1460,110.4597462261217,0.0099042246844974,0.12,3,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,60,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,90,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,130,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,190,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,270,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,3,320,0.8
R1460,110.4597462261217,0.0099042246844974,0.12,6,1,0.4
R1460,110.4597462261217,0.0099042246844974,0.12,6,2,0.4
R1460,110.4597462261217,0.0099042246844974,0.12,6,3,0.8
R1460,110.4597462261217,0.0099042246844974,0.12,6,5,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,6,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,6,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,6,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,6,27,0.8
R1460,110.4597462261217,0.0099042246844974,0.12,6,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.12,6,60,0.6
R1460,110.4597462261217,0.0099042246844974,0.12,6,90,0.6
R1460,110.4597462261217,0.0099042246844974,0.12,6,130,0.4
R1460,110.4597462261217,0.0099042246844974,0.12,6,190,0.0
R1460,110.4597462261217,0.0099042246844974,0.12,6,270,0.0
R1460,110.4597462261217,0.0099042246844974,0.12,6,320,0.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,1,0.8
R1460,110.4597462261217,0.0099042246844974,0.22,1,2,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,3,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,5,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,60,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,90,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,130,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,190,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,270,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,1,320,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,1,0.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,2,0.4
R1460,110.4597462261217,0.0099042246844974,0.22,3,3,0.6
R1460,110.4597462261217,0.0099042246844974,0.22,3,5,0.8
R1460,110.4597462261217,0.0099042246844974,0.22,3,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,60,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,90,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,130,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,190,0.8
R1460,110.4597462261217,0.0099042246844974,0.22,3,270,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,3,320,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,6,1,0.2
R1460,110.4597462261217,0.0099042246844974,0.22,6,2,0.2
R1460,110.4597462261217,0.0099042246844974,0.22,6,3,0.4
R1460,110.4597462261217,0.0099042246844974,0.22,6,5,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,6,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,6,12,0.6
R1460,110.4597462261217,0.0099042246844974,0.22,6,18,0.8
R1460,110.4597462261217,0.0099042246844974,0.22,6,27,0.8
R1460,110.4597462261217,0.0099042246844974,0.22,6,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.22,6,60,0.6
R1460,110.4597462261217,0.0099042246844974,0.22,6,90,0.6
R1460,110.4597462261217,0.0099042246844974,0.22,6,130,0.2
R1460,110.4597462261217,0.0099042246844974,0.22,6,190,0.0
R1460,110.4597462261217,0.0099042246844974,0.22,6,270,0.0
R1460,110.4597462261217,0.0099042246844974,0.22,6,320,0.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,1,0.6
R1460,110.4597462261217,0.0099042246844974,0.32,1,2,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,3,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,5,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,60,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,90,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,130,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,190,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,270,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,1,320,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,3,1,0.2
R1460,110.4597462261217,0.0099042246844974,0.32,3,2,0.4
R1460,110.4597462261217,0.0099042246844974,0.32,3,3,0.8
R1460,110.4597462261217,0.0099042246844974,0.32,3,5,0.8
R1460,110.4597462261217,0.0099042246844974,0.32,3,8,0.8
R1460,110.4597462261217,0.0099042246844974,0.32,3,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,3,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,3,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,3,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,3,60,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,3,90,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,3,130,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,3,190,0.8
R1460,110.4597462261217,0.0099042246844974,0.32,3,270,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,3,320,0.6
R1460,110.4597462261217,0.0099042246844974,0.32,6,1,0.4
R1460,110.4597462261217,0.0099042246844974,0.32,6,2,0.2
R1460,110.4597462261217,0.0099042246844974,0.32,6,3,0.6
R1460,110.4597462261217,0.0099042246844974,0.32,6,5,0.8
R1460,110.4597462261217,0.0099042246844974,0.32,6,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,6,12,0.6
R1460,110.4597462261217,0.0099042246844974,0.32,6,18,0.8
R1460,110.4597462261217,0.0099042246844974,0.32,6,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,6,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.32,6,60,0.8
R1460,110.4597462261217,0.0099042246844974,0.32,6,90,0.4
R1460,110.4597462261217,0.0099042246844974,0.32,6,130,0.2
R1460,110.4597462261217,0.0099042246844974,0.32,6,190,0.0
R1460,110.4597462261217,0.0099042246844974,0.32,6,270,0.0
R1460,110.4597462261217,0.0099042246844974,0.32,6,320,0.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,1,0.6
R1460,110.4597462261217,0.0099042246844974,0.42,1,2,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,3,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,5,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,12,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,60,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,90,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,130,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,190,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,270,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,1,320,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,3,1,0.6
R1460,110.4597462261217,0.0099042246844974,0.42,3,2,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,3,3,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,3,5,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,3,8,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,3,12,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,3,18,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,3,27,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,3,40,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,3,60,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,3,90,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,3,130,1.0
R1460,110.4597462261217,0.0099042246844974,0.42,3,190,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,3,270,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,3,320,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,6,1,0.2
R1460,110.4597462261217,0.0099042246844974,0.42,6,2,0.6
R1460,110.4597462261217,0.0099042246844974,0.42,6,3,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,6,5,0.4
R1460,110.4597462261217,0.0099042246844974,0.42,6,8,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,6,12,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,6,18,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,6,27,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,6,40,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,6,60,0.8
R1460,110.4597462261217,0.0099042246844974,0.42,6,90,0.4
R1460,110.4597462261217,0.0099042246844974,0.42,6,130,0.4
R1460,110.4597462261217,0.0099042246844974,0.42,6,190,0.0
R1460,110.4597462261217,0.0099042246844974,0.42,6,270,0.0
R1460,110.4597462261217,0.0099042246844974,0.42,6,320,0.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,1,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,2,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,3,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,5,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,8,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,12,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,18,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,27,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,40,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,60,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,90,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,130,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,190,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,270,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,1,320,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,1,0.8
R1648,213.67197467696982,0.0127395659467984,0.05,3,2,0.4
R1648,213.67197467696982,0.0127395659467984,0.05,3,3,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,5,0.8
R1648,213.67197467696982,0.0127395659467984,0.05,3,8,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,12,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,18,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,27,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,40,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,60,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,90,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,130,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,190,1.0
R1648,213.67197467696982,0.0127395659467984,0.05,3,270,0.8
R1648,213.67197467696982,0.0127395659467984,0.05,3,320,0.8
R1648,213.67197467696982,0.0127395659467984,0.05,6,1,0.2
R1648,213.67197467696982,0.0127395659467984,0.05,6,2,0.4
R1648,213.67197467696982,0.0127395659467984,0.05,6,3,0.2
R1648,213.67197467696982,0.0127395659467984,0.05,6,5,0.8
R1648,213.67197467696982,0.0127395659467984,0.05,6,8,0.8
R1648,213.67197467696982,0.0127395659467984,0.05,6,12,0.8
R1648,213.67197467696982,0.0127395659467984,0.05,6,18,0.8
R1648,213.67197467696982,0.0127395659467984,0.05,6,27,0.8
R1648,213.67197467696982,0.0127395659467984,0.05,6,40,0.6
R1648,213.67197467696982,0.0127395659467984,0.05,6,60,0.4
R1648,213.67197467696982,0.0127395659467984,0.05,6,90,0.4
R1648,213.67197467696982,0.0127395659467984,0.05,6,130,0.2
R1648,213.67197467696982,0.0127395659467984,0.05,6,190,0.0
R1648,213.67197467696982,0.0127395659467984,0.05,6,270,0.0
R1648,213.67197467696982,0.0127395659467984,0.05,6,320,0.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,1,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,2,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,3,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,5,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,8,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,12,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,18,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,27,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,40,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,60,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,90,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,130,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,190,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,270,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,1,320,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,3,1,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,3,2,0.6
R1648,213.67197467696982,0.0127395659467984,0.12,3,3,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,3,5,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,3,8,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,3,12,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,3,18,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,3,27,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,3,40,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,3,60,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,3,90,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,3,130,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,3,190,1.0
R1648,213.67197467696982,0.0127395659467984,0.12,3,270,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,3,320,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,6,1,0.0
R1648,213.67197467696982,0.0127395659467984,0.12,6,2,0.2
R1648,213.67197467696982,0.0127395659467984,0.12,6,3,0.4
R1648,213.67197467696982,0.0127395659467984,0.12,6,5,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,6,8,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,6,12,0.6
R1648,213.67197467696982,0.0127395659467984,0.12,6,18,0.6
R1648,213.67197467696982,0.0127395659467984,0.12,6,27,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,6,40,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,6,60,0.6
R1648,213.67197467696982,0.0127395659467984,0.12,6,90,0.8
R1648,213.67197467696982,0.0127395659467984,0.12,6,130,0.2
R1648,213.67197467696982,0.0127395659467984,0.12,6,190,0.0
R1648,213.67197467696982,0.0127395659467984,0.12,6,270,0.0
R1648,213.67197467696982,0.0127395659467984,0.12,6,320,0.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,1,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,2,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,3,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,5,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,8,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,12,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,18,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,27,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,40,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,60,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,90,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,130,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,190,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,270,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,1,320,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,3,1,0.4
R1648,213.67197467696982,0.0127395659467984,0.22,3,2,0.8
R1648,213.67197467696982,0.0127395659467984,0.22,3,3,0.8
R1648,213.67197467696982,0.0127395659467984,0.22,3,5,0.8
R1648,213.67197467696982,0.0127395659467984,0.22,3,8,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,3,12,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,3,18,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,3,27,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,3,40,1.0
R1648,213.67197467696982,0.0127395659467984,0.22,3,60,1.0
